index,recipient,donor,slot,implementation,runtime_status,offer_eligible,adapter,exclusion_reason,evidence
10,captain_falcon,fox,nair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
11,captain_falcon,fox,fair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
12,captain_falcon,fox,bair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
13,captain_falcon,fox,uair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
14,captain_falcon,fox,dair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
15,captain_falcon,game_and_watch,nair,implemented,runtime-tested,True,gamewatch-articles,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":true,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
16,captain_falcon,game_and_watch,fair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
17,captain_falcon,game_and_watch,bair,implemented,runtime-tested,True,gamewatch-articles,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":true,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
18,captain_falcon,game_and_watch,uair,implemented,runtime-tested,True,gamewatch-articles,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":true,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
19,captain_falcon,game_and_watch,dair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
20,captain_falcon,kirby,nair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
21,captain_falcon,kirby,fair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
22,captain_falcon,kirby,bair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
23,captain_falcon,kirby,uair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
24,captain_falcon,kirby,dair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
25,captain_falcon,bowser,nair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
